css,url,required_relpath,present_in_package
assets/fonts/remixicon.css,remixicon.eot?t=1705244689813,assets/fonts/remixicon.eot,False
assets/fonts/remixicon.css,remixicon.eot?t=1705244689813#iefix,assets/fonts/remixicon.eot,False
assets/fonts/remixicon.css,remixicon.svg?t=1705244689813#remixicon,assets/fonts/remixicon.svg,False
assets/fonts/remixicon.css,remixicon.ttf?t=1705244689813,assets/fonts/remixicon.ttf,False
assets/fonts/remixicon.css,remixicon.woff?t=1705244689813,assets/fonts/remixicon.woff,False
assets/fonts/remixicon.css,remixicon.woff2?t=1705244689813,assets/fonts/remixicon.woff2,False
assets/fonts/manrope.css,xn7_YHE41ni1AdIRqAuZuw1Bx9mbZk4aE-_F.ttf,assets/fonts/xn7_YHE41ni1AdIRqAuZuw1Bx9mbZk4aE-_F.ttf,False
assets/fonts/manrope.css,xn7_YHE41ni1AdIRqAuZuw1Bx9mbZk4jE-_F.ttf,assets/fonts/xn7_YHE41ni1AdIRqAuZuw1Bx9mbZk4jE-_F.ttf,False
assets/fonts/manrope.css,xn7_YHE41ni1AdIRqAuZuw1Bx9mbZk59E-_F.ttf,assets/fonts/xn7_YHE41ni1AdIRqAuZuw1Bx9mbZk59E-_F.ttf,False
assets/fonts/manrope.css,xn7_YHE41ni1AdIRqAuZuw1Bx9mbZk79FO_F.ttf,assets/fonts/xn7_YHE41ni1AdIRqAuZuw1Bx9mbZk79FO_F.ttf,False
assets/fonts/manrope.css,xn7_YHE41ni1AdIRqAuZuw1Bx9mbZk7PFO_F.ttf,assets/fonts/xn7_YHE41ni1AdIRqAuZuw1Bx9mbZk7PFO_F.ttf,False
