page,viewport,body_scroll_width,viewport_width,h1_lines,h1_overflow_wrap,h1_word_break,h1_font_size
index.html,mobile,390,390,6,normal,normal,34.32px
index.html,desktop,1440,1440,8,normal,normal,60px
uslugi.html,mobile,390,390,4,anywhere,normal,30px
uslugi.html,desktop,1440,1440,4,normal,normal,60px
ventilyatsiya-restoranov.html,mobile,390,390,5,normal,normal,35.88px
ventilyatsiya-restoranov.html,desktop,1440,1440,3,normal,normal,48px
obsluzhivanie-ventilyatsii-restoranov.html,mobile,390,390,3,normal,normal,35.88px
obsluzhivanie-ventilyatsii-restoranov.html,desktop,1440,1440,2,normal,normal,48px
chistka-ventilyatsii-restoranov.html,mobile,390,390,2,normal,normal,35.88px
chistka-ventilyatsii-restoranov.html,desktop,1440,1440,2,normal,normal,48px
diagnostika-ventilyatsii-restorana.html,mobile,390,390,4,normal,normal,35.88px
diagnostika-ventilyatsii-restorana.html,desktop,1440,1440,3,normal,normal,48px
dym-na-kuhne-restorana.html,mobile,390,390,2,normal,normal,35.88px
dym-na-kuhne-restorana.html,desktop,1440,1440,2,normal,normal,48px
avtomatika-ventilyatsii-restorana.html,mobile,390,390,3,normal,normal,35.88px
avtomatika-ventilyatsii-restorana.html,desktop,1440,1440,2,normal,normal,48px
contact.html,mobile,390,390,5,anywhere,normal,30px
contact.html,desktop,1440,1440,5,normal,normal,60px
